Ref,Val,Package,PosX,PosY,Rot,Side
"Q5","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.074800,-62.230000,0.000000,top
"Q6","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",69.037200,-62.230000,0.000000,top
"Q7","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.074800,-71.120000,180.000000,top
"Q8","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",69.037200,-71.120000,180.000000,top
"Q9","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",57.150000,-62.230000,0.000000,top
"Q10","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.112400,-62.230000,0.000000,top
"Q11","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",57.150000,-71.120000,180.000000,top
"Q12","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.112400,-71.120000,180.000000,top
"Q13","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",78.862880,-52.070000,90.000000,top
"Q14","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",71.812880,-81.280000,90.000000,top
"Q15","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",87.012880,-52.070000,90.000000,top
"Q16","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",80.612880,-81.280000,90.000000,top
"Q17","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",80.924400,-62.230000,0.000000,top
"Q18","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.886800,-62.230000,0.000000,top
"Q19","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",80.924400,-71.120000,180.000000,top
"Q20","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.886800,-71.120000,180.000000,top
"Q21","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",72.999600,-62.230000,0.000000,top
"Q22","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",76.962000,-62.230000,0.000000,top
"Q23","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",72.999600,-71.120000,180.000000,top
"Q24","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",76.962000,-71.120000,180.000000,top
"Q25","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",54.262880,-90.058880,90.000000,top
"Q26","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",54.612880,-119.380000,90.000000,top
"Q27","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",62.062880,-90.170000,90.000000,top
"Q28","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",63.412880,-119.380000,90.000000,top
"Q29","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.074800,-100.330000,0.000000,top
"Q30","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",69.037200,-100.330000,0.000000,top
"Q31","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.074800,-109.220000,180.000000,top
"Q32","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",69.037200,-109.220000,180.000000,top
"Q33","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",56.896000,-100.330000,0.000000,top
"Q34","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.112400,-100.330000,0.000000,top
"Q35","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",57.150000,-109.220000,180.000000,top
"Q36","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.112400,-109.220000,180.000000,top
"Q37","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",71.712880,-90.170000,90.000000,top
"Q38","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",71.812880,-119.380000,90.000000,top
"Q39","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",79.812880,-90.170000,90.000000,top
"Q40","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",80.462880,-119.380000,90.000000,top
"Q41","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",80.924400,-100.330000,0.000000,top
"Q42","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.886800,-100.330000,0.000000,top
"Q43","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",80.924400,-109.220000,180.000000,top
"Q44","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",84.886800,-109.220000,180.000000,top
"Q45","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",72.999600,-100.330000,0.000000,top
"Q46","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",76.962000,-100.330000,0.000000,top
"Q47","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",72.999600,-109.220000,180.000000,top
"Q48","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",76.962000,-109.220000,180.000000,top
"Q49","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",57.015380,-128.135380,90.000000,top
"Q50","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",55.762880,-157.480000,90.000000,top
"Q51","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",64.889380,-128.071880,90.000000,top
"Q52","2N7002DW-7-F","SOT-363_SC-70-6_Handsoldering",64.262880,-157.480000,90.000000,top
"Q53","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.074800,-138.430000,0.000000,top
"Q54","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",69.037200,-138.430000,0.000000,top
"Q55","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",65.112880,-147.320000,180.000000,top
"Q56","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",68.912880,-147.320000,180.000000,top
"Q57","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",56.896000,-138.430000,0.000000,top
"Q58","SMD-MOSFET-P-CH-VDC=30V-ID=4.3A-NCE3407A_SOT-23_","SOT-23",61.112400,-138.430000,0.000000,top
